from,to,sim,plot_order,label
V1,V4,1,15,1
V10,V11,1,15,10
V10,V14,1,15,10
V11,V8,1,15,11
V11,V10,1,15,11
V12,V6,1,15,12
V13,NA,1,15,13
V14,V10,1,15,14
V15,NA,1,15,15
V16,NA,1,15,16
V2,V13,1,15,2
V3,NA,1,15,3
V4,V11,1,15,4
V5,V2,1,15,5
V6,V12,1,15,6
V7,NA,1,15,7
V8,V11,1,15,8
V9,NA,1,15,9
V1,NA,10,17,1
V10,V9,10,17,10
V11,NA,10,17,11
V12,V6,10,17,12
V12,V13,10,17,12
V13,V2,10,17,13
V13,V6,10,17,13
V13,V12,10,17,13
V13,V15,10,17,13
V14,NA,10,17,14
V15,V13,10,17,15
V16,NA,10,17,16
V2,V13,10,17,2
V3,NA,10,17,3
V4,NA,10,17,4
V5,NA,10,17,5
V6,V12,10,17,6
V6,V13,10,17,6
V7,NA,10,17,7
V8,V9,10,17,8
V9,V8,10,17,9
V9,V14,10,17,9
V1,NA,11,14,1
V10,V7,11,14,10
V10,V11,11,14,10
V11,V10,11,14,11
V12,NA,11,14,12
V13,NA,11,14,13
V14,V6,11,14,14
V15,V3,11,14,15
V16,NA,11,14,16
V2,V3,11,14,2
V2,V5,11,14,2
V3,V2,11,14,3
V3,V5,11,14,3
V4,V3,11,14,4
V5,V2,11,14,5
V5,V3,11,14,5
V6,V14,11,14,6
V7,V10,11,14,7
V8,NA,11,14,8
V9,NA,11,14,9
V1,NA,12,16,1
V10,V11,12,16,10
V10,V14,12,16,10
V10,V15,12,16,10
V11,NA,12,16,11
V12,V3,12,16,12
V12,V13,12,16,12
V13,V3,12,16,13
V13,V12,12,16,13
V14,V10,12,16,14
V14,V11,12,16,14
V15,V8,12,16,15
V15,V10,12,16,15
V16,NA,12,16,16
V2,V5,12,16,2
V3,V2,12,16,3
V3,V5,12,16,3
V3,V12,12,16,3
V3,V13,12,16,3
V4,V5,12,16,4
V4,V7,12,16,4
V5,V2,12,16,5
V5,V3,12,16,5
V5,V4,12,16,5
V5,V7,12,16,5
V6,NA,12,16,6
V7,V5,12,16,7
V8,V9,12,16,8
V8,V10,12,16,8
V9,V8,12,16,9
V1,NA,13,8,1
V10,NA,13,8,10
V11,NA,13,8,11
V12,V2,13,8,12
V13,NA,13,8,13
V14,V7,13,8,14
V15,NA,13,8,15
V16,NA,13,8,16
V2,V3,13,8,2
V2,V12,13,8,2
V3,V2,13,8,3
V3,V11,13,8,3
V3,V15,13,8,3
V4,NA,13,8,4
V5,NA,13,8,5
V6,V12,13,8,6
V7,NA,13,8,7
V8,NA,13,8,8
V9,NA,13,8,9
V1,NA,14,3,1
V10,NA,14,3,10
V11,V7,14,3,11
V11,V8,14,3,11
V11,V16,14,3,11
V12,V6,14,3,12
V12,V13,14,3,12
V13,V6,14,3,13
V13,V12,14,3,13
V14,V5,14,3,14
V15,NA,14,3,15
V16,NA,14,3,16
V2,V12,14,3,2
V3,NA,14,3,3
V4,NA,14,3,4
V5,NA,14,3,5
V6,V12,14,3,6
V6,V13,14,3,6
V7,V11,14,3,7
V8,V9,14,3,8
V8,V11,14,3,8
V8,V14,14,3,8
V9,V8,14,3,9
V1,V2,15,5,1
V10,V11,15,5,10
V11,V10,15,5,11
V11,V13,15,5,11
V12,V6,15,5,12
V12,V13,15,5,12
V13,V6,15,5,13
V13,V11,15,5,13
V13,V12,15,5,13
V14,NA,15,5,14
V15,NA,15,5,15
V16,NA,15,5,16
V2,V13,15,5,2
V3,V6,15,5,3
V4,NA,15,5,4
V5,NA,15,5,5
V6,V12,15,5,6
V6,V13,15,5,6
V7,NA,15,5,7
V8,V9,15,5,8
V9,V8,15,5,9
V9,V10,15,5,9
V1,NA,16,7,1
V10,V11,16,7,10
V11,V8,16,7,11
V11,V10,16,7,11
V11,V14,16,7,11
V12,V6,16,7,12
V12,V13,16,7,12
V13,V6,16,7,13
V13,V12,16,7,13
V13,V15,16,7,13
V14,V1,16,7,14
V14,V11,16,7,14
V15,NA,16,7,15
V16,V3,16,7,16
V2,V11,16,7,2
V3,NA,16,7,3
V4,NA,16,7,4
V5,V2,16,7,5
V6,V13,16,7,6
V7,V9,16,7,7
V8,V11,16,7,8
V8,V14,16,7,8
V9,NA,16,7,9
V1,V13,17,9,1
V10,V8,17,9,10
V11,NA,17,9,11
V12,V6,17,9,12
V12,V13,17,9,12
V13,V1,17,9,13
V13,V6,17,9,13
V13,V12,17,9,13
V14,NA,17,9,14
V15,V10,17,9,15
V16,NA,17,9,16
V2,V3,17,9,2
V2,V5,17,9,2
V2,V6,17,9,2
V3,V2,17,9,3
V3,V6,17,9,3
V4,NA,17,9,4
V5,V2,17,9,5
V6,V2,17,9,6
V6,V3,17,9,6
V6,V12,17,9,6
V6,V13,17,9,6
V7,NA,17,9,7
V8,V9,17,9,8
V8,V10,17,9,8
V9,NA,17,9,9
V1,NA,18,11,1
V10,V7,18,11,10
V11,NA,18,11,11
V12,V6,18,11,12
V12,V13,18,11,12
V13,NA,18,11,13
V14,V10,18,11,14
V15,NA,18,11,15
V16,V7,18,11,16
