from,to,sim,plot_order,label
V1,V14,1,12,1
V10,V7,1,12,10
V10,V11,1,12,10
V10,V14,1,12,10
V11,NA,1,12,11
V12,V6,1,12,12
V12,V13,1,12,12
V12,V16,1,12,12
V13,V6,1,12,13
V13,V12,1,12,13
V14,V10,1,12,14
V15,V8,1,12,15
V16,V12,1,12,16
V2,NA,1,12,2
V3,NA,1,12,3
V4,NA,1,12,4
V5,NA,1,12,5
V6,V12,1,12,6
V7,V10,1,12,7
V8,NA,1,12,8
V9,NA,1,12,9
V1,NA,10,14,1
V10,V14,10,14,10
V11,NA,10,14,11
V12,V4,10,14,12
V12,V6,10,14,12
V13,V2,10,14,13
V13,V12,10,14,13
V14,V10,10,14,14
V14,V11,10,14,14
V15,NA,10,14,15
V16,NA,10,14,16
V2,V13,10,14,2
V3,NA,10,14,3
V4,V5,10,14,4
V4,V12,10,14,4
V5,V4,10,14,5
V6,V4,10,14,6
V6,V12,10,14,6
V7,NA,10,14,7
V8,NA,10,14,8
V9,V11,10,14,9
V1,V13,11,11,1
V10,V11,11,11,10
V10,V14,11,11,10
V11,V13,11,11,11
V11,V14,11,11,11
V12,V6,11,11,12
V12,V15,11,11,12
V13,V1,11,11,13
V14,V10,11,11,14
V14,V11,11,11,14
V15,V12,11,11,15
V16,V13,11,11,16
V2,V3,11,11,2
V3,V2,11,11,3
V3,V8,11,11,3
V4,V14,11,11,4
V5,NA,11,11,5
V6,NA,11,11,6
V7,NA,11,11,7
V8,V9,11,11,8
V8,V10,11,11,8
V9,V8,11,11,9
V9,V10,11,11,9
V1,V2,12,16,1
V10,V11,12,16,10
V10,V14,12,16,10
V11,V10,12,16,11
V12,V2,12,16,12
V12,V6,12,16,12
V12,V13,12,16,12
V13,V6,12,16,13
V13,V12,12,16,13
V14,V10,12,16,14
V15,NA,12,16,15
V16,V5,12,16,16
V2,V1,12,16,2
V3,V2,12,16,3
V3,V5,12,16,3
V4,V12,12,16,4
V5,V2,12,16,5
V5,V3,12,16,5
V5,V16,12,16,5
V6,V4,12,16,6
V6,V12,12,16,6
V7,NA,12,16,7
V8,NA,12,16,8
V9,NA,12,16,9
V1,NA,13,6,1
V10,NA,13,6,10
V11,V5,13,6,11
V12,V3,13,6,12
V12,V6,13,6,12
V12,V13,13,6,12
V13,V12,13,6,13
V14,NA,13,6,14
V15,V8,13,6,15
V16,NA,13,6,16
V2,NA,13,6,2
V3,V6,13,6,3
V3,V12,13,6,3
V4,NA,13,6,4
V5,NA,13,6,5
V6,V3,13,6,6
V6,V12,13,6,6
V7,NA,13,6,7
V8,NA,13,6,8
V9,NA,13,6,9
V1,NA,14,2,1
V10,NA,14,2,10
V11,V7,14,2,11
V12,NA,14,2,12
V13,NA,14,2,13
V14,V11,14,2,14
V15,NA,14,2,15
