from,to,sim,plot_order,label
V1,NA,1,9,1
V10,V2,1,9,10
V10,V7,1,9,10
V10,V11,1,9,10
V11,V10,1,9,11
V12,V13,1,9,12
V13,V12,1,9,13
V14,V11,1,9,14
V15,V8,1,9,15
V16,V5,1,9,16
V2,V10,1,9,2
V3,V5,1,9,3
V4,NA,1,9,4
V5,V3,1,9,5
V5,V4,1,9,5
V5,V16,1,9,5
V6,NA,1,9,6
V7,V10,1,9,7
V8,V15,1,9,8
V9,NA,1,9,9
V1,V13,10,10,1
V10,V8,10,10,10
V11,NA,10,10,11
V12,V4,10,10,12
V12,V13,10,10,12
V13,V12,10,10,13
V14,V9,10,10,14
V14,V11,10,10,14
V15,V3,10,10,15
V16,V7,10,10,16
V2,V3,10,10,2
V3,V12,10,10,3
V3,V15,10,10,3
V4,NA,10,10,4
V5,NA,10,10,5
V6,NA,10,10,6
V7,V6,10,10,7
V8,V9,10,10,8
V8,V10,10,10,8
V8,V11,10,10,8
V9,V8,10,10,9
V9,V14,10,10,9
V1,NA,11,8,1
V10,V7,11,8,10
V10,V14,11,8,10
V11,V7,11,8,11
V11,V14,11,8,11
V12,V9,11,8,12
V12,V13,11,8,12
V12,V15,11,8,12
V13,V2,11,8,13
V13,V6,11,8,13
V13,V12,11,8,13
V14,V10,11,8,14
V14,V11,11,8,14
V15,V3,11,8,15
V15,V12,11,8,15
V16,NA,11,8,16
V2,V3,11,8,2
V2,V5,11,8,2
V2,V6,11,8,2
V2,V13,11,8,2
V3,V2,11,8,3
V3,V15,11,8,3
V4,NA,11,8,4
V5,V2,11,8,5
V6,V2,11,8,6
V6,V12,11,8,6
V7,V11,11,8,7
V8,V15,11,8,8
V9,V12,11,8,9
V1,NA,2,11,1
V10,V7,2,11,10
V11,V14,2,11,11
V12,V3,2,11,12
V13,NA,2,11,13
V14,NA,2,11,14
V15,V9,2,11,15
V16,NA,2,11,16
V2,NA,2,11,2
V3,V12,2,11,3
V4,V2,2,11,4
V5,NA,2,11,5
V6,NA,2,11,6
V7,V10,2,11,7
V8,V9,2,11,8
V9,V8,2,11,9
V9,V15,2,11,9
V1,NA,3,4,1
V10,NA,3,4,10
V11,V14,3,4,11
V12,V3,3,4,12
V12,V6,3,4,12
V13,V12,3,4,13
V14,V11,3,4,14
V15,V2,3,4,15
V16,NA,3,4,16
V2,V5,3,4,2
V3,V12,3,4,3
V4,V16,3,4,4
V5,NA,3,4,5
V6,V8,3,4,6
V6,V9,3,4,6
V6,V12,3,4,6
V7,V10,3,4,7
V8,V9,3,4,8
V9,V6,3,4,9
V9,V8,3,4,9
V1,NA,4,2,1
V10,V11,4,2,10
V11,V10,4,2,11
V12,NA,4,2,12
V13,V2,4,2,13
V13,V9,4,2,13
V14,NA,4,2,14
V15,V3,4,2,15
V15,V6,4,2,15
V16,NA,4,2,16
V2,V13,4,2,2
V3,V15,4,2,3
V4,V5,4,2,4
V5,V4,4,2,5
V6,NA,4,2,6
V7,NA,4,2,7
V8,NA,4,2,8
V9,NA,4,2,9
V1,NA,5,7,1
V10,V7,5,7,10
V10,V11,5,7,10
V11,V2,5,7,11
V11,V10,5,7,11
V11,V15,5,7,11
