from,to,sim,plot_order,label
V1,V6,1,5,1
V1,V13,1,5,1
V10,V7,1,5,10
V10,V14,1,5,10
V11,V12,1,5,11
V11,V14,1,5,11
V12,V6,1,5,12
V13,NA,1,5,13
V14,V4,1,5,14
V14,V10,1,5,14
V14,V11,1,5,14
V15,V3,1,5,15
V16,NA,1,5,16
V2,NA,1,5,2
V3,V15,1,5,3
V4,V5,1,5,4
V4,V14,1,5,4
V5,V4,1,5,5
V6,V1,1,5,6
V6,V12,1,5,6
V7,V10,1,5,7
V7,V11,1,5,7
V8,V9,1,5,8
V9,NA,1,5,9
V1,V10,2,6,1
V10,V1,2,6,10
V10,V6,2,6,10
V10,V7,2,6,10
V11,V8,2,6,11
V11,V12,2,6,11
V11,V14,2,6,11
V12,V3,2,6,12
V12,V11,2,6,12
V13,V6,2,6,13
V13,V12,2,6,13
V14,V11,2,6,14
V15,V12,2,6,15
V16,V1,2,6,16
V2,V3,2,6,2
V3,V2,2,6,3
V3,V12,2,6,3
V4,V5,2,6,4
V5,V4,2,6,5
V6,V10,2,6,6
V7,NA,2,6,7
V8,V9,2,6,8
V8,V11,2,6,8
V8,V13,2,6,8
V9,V8,2,6,9
V1,NA,3,4,1
V10,NA,3,4,10
V11,V8,3,4,11
V12,V3,3,4,12
V13,NA,3,4,13
V14,V8,3,4,14
V15,NA,3,4,15
V16,NA,3,4,16
V2,V3,3,4,2
V2,V11,3,4,2
V3,V2,3,4,3
V3,V12,3,4,3
V4,NA,3,4,4
V5,NA,3,4,5
V6,V12,3,4,6
V7,V10,3,4,7
V8,V11,3,4,8
V9,NA,3,4,9
V1,V2,4,3,1
V10,V7,4,3,10
V11,V8,4,3,11
V12,V6,4,3,12
V12,V13,4,3,12
V12,V16,4,3,12
V13,V4,4,3,13
V13,V12,4,3,13
V14,NA,4,3,14
V15,NA,4,3,15
V16,NA,4,3,16
V2,NA,4,3,2
V3,NA,4,3,3
V4,NA,4,3,4
V5,NA,4,3,5
V6,V12,4,3,6
V7,V5,4,3,7
V7,V10,4,3,7
V8,V11,4,3,8
V9,NA,4,3,9
V1,V11,5,1,1
V10,V11,5,1,10
V11,V1,5,1,11
V11,V10,5,1,11
V11,V14,5,1,11
V12,V3,5,1,12
V13,V8,5,1,13
V14,V11,5,1,14
V15,V5,5,1,15
V16,NA,5,1,16
V2,NA,5,1,2
V3,V12,5,1,3
V4,V5,5,1,4
V5,V4,5,1,5
V5,V15,5,1,5
V6,V12,5,1,6
V7,V10,5,1,7
V8,V13,5,1,8
V9,NA,5,1,9
V1,NA,dat,2,1
V2,V12,dat,2,2
V3,NA,dat,2,3
V4,NA,dat,2,4
V5,V3,dat,2,5
V5,V9,dat,2,5
V6,V5,dat,2,6
V6,V8,dat,2,6
V6,V9,dat,2,6
V6,V13,dat,2,6
V7,NA,dat,2,7
V8,V9,dat,2,8
V9,V5,dat,2,9
V9,V8,dat,2,9
V10,V11,dat,2,10
V10,V14,dat,2,10
V11,V10,dat,2,11
V12,V13,dat,2,12
V13,V12,dat,2,13
V14,V10,dat,2,14
V14,V11,dat,2,14
V15,NA,dat,2,15
V16,V9,dat,2,16
