from,to,dep.var.id,wave,sim
1,NA,NA,1,1
2,12,1,1,1
2,13,1,1,1
3,2,1,1,1
3,5,1,1,1
5,2,1,1,1
5,3,1,1,1
6,1,1,1,1
10,11,1,1,1
11,10,1,1,1
11,14,1,1,1
12,2,1,1,1
12,13,1,1,1
12,15,1,1,1
13,2,1,1,1
13,12,1,1,1
13,14,1,1,1
14,NA,NA,1,1
15,12,1,1,1
3,5,1,2,1
3,9,1,2,1
4,8,1,2,1
5,NA,NA,2,1
6,5,1,2,1
6,8,1,2,1
6,13,1,2,1
8,9,1,2,1
9,3,1,2,1
9,8,1,2,1
10,14,1,2,1
11,10,1,2,1
11,14,1,2,1
12,6,1,2,1
12,13,1,2,1
13,12,1,2,1
14,10,1,2,1
14,11,1,2,1
15,5,1,2,1
16,9,1,2,1
3,NA,NA,1,2
4,5,1,1,2
5,NA,NA,1,2
6,13,1,1,2
10,NA,NA,1,2
12,6,1,1,2
12,13,1,1,2
12,15,1,1,2
13,3,1,1,2
13,6,1,1,2
13,12,1,1,2
14,10,1,1,2
15,12,1,1,2
2,7,1,2,2
3,5,1,2,2
4,14,1,2,2
5,3,1,2,2
5,9,1,2,2
5,10,1,2,2
6,NA,NA,2,2
7,2,1,2,2
8,6,1,2,2
8,9,1,2,2
9,8,1,2,2
10,14,1,2,2
12,13,1,2,2
13,12,1,2,2
14,NA,NA,2,2
2,3,1,1,3
3,2,1,1,3
4,NA,NA,1,3
5,4,1,1,3
6,3,1,1,3
7,10,1,1,3
10,7,1,1,3
10,11,1,1,3
10,14,1,1,3
11,14,1,1,3
12,13,1,1,3
13,NA,NA,1,3
14,7,1,1,3
14,10,1,1,3
14,11,1,1,3
3,6,1,2,3
4,NA,NA,2,3
5,4,1,2,3
6,8,1,2,3
6,9,1,2,3
8,6,1,2,3
8,9,1,2,3
9,6,1,2,3
9,8,1,2,3
9,16,1,2,3
10,11,1,2,3
10,14,1,2,3
11,10,1,2,3
12,13,1,2,3
13,12,1,2,3
13,14,1,2,3
14,10,1,2,3
16,NA,NA,2,3
1,NA,NA,1,4
4,1,1,1,4
6,12,1,1,4
7,10,1,1,4
7,14,1,1,4
10,7,1,1,4
10,11,1,1,4
10,14,1,1,4
11,14,1,1,4
12,6,1,1,4
12,13,1,1,4
13,6,1,1,4
13,12,1,1,4
14,7,1,1,4
14,10,1,1,4
14,11,1,1,4
16,12,1,1,4
4,NA,NA,2,4
5,9,1,2,4
6,5,1,2,4
6,8,1,2,4
6,9,1,2,4
6,13,1,2,4
8,NA,NA,2,4
9,5,1,2,4
10,11,1,2,4
10,14,1,2,4
11,10,1,2,4
11,14,1,2,4
12,13,1,2,4
13,12,1,2,4
14,4,1,2,4
14,10,1,2,4
16,9,1,2,4
1,NA,NA,1,5
3,NA,NA,1,5
4,5,1,1,5
5,4,1,1,5
6,12,1,1,5
6,13,1,1,5
7,10,1,1,5
8,3,1,1,5
9,1,1,1,5
9,8,1,1,5
10,7,1,1,5
10,15,1,1,5
12,NA,NA,1,5
13,6,1,1,5
13,12,1,1,5
15,NA,NA,1,5
2,12,1,2,5
5,9,1,2,5
6,8,1,2,5
6,9,1,2,5
6,13,1,2,5
8,6,1,2,5
8,9,1,2,5
9,5,1,2,5
9,8,1,2,5
10,11,1,2,5
10,14,1,2,5
11,10,1,2,5
11,14,1,2,5
12,NA,NA,2,5
13,NA,NA,2,5
14,10,1,2,5
14,11,1,2,5
16,10,1,2,5
1,4,1,1,6
2,3,1,1,6
2,6,1,1,6
3,1,1,1,6
3,2,1,1,6
3,5,1,1,6
3,6,1,1,6
3,12,1,1,6
4,NA,NA,1,6
5,3,1,1,6
5,6,1,1,6
5,12,1,1,6
6,2,1,1,6
6,3,1,1,6
6,5,1,1,6
6,12,1,1,6
7,10,1,1,6
10,11,1,1,6
10,14,1,1,6
11,10,1,1,6
11,14,1,1,6
12,1,1,1,6
12,6,1,1,6
12,13,1,1,6
12,15,1,1,6
13,12,1,1,6
14,10,1,1,6
14,11,1,1,6
15,12,1,1,6
4,NA,NA,2,6
5,9,1,2,6
6,5,1,2,6
6,8,1,2,6
6,9,1,2,6
6,13,1,2,6
8,4,1,2,6
8,6,1,2,6
8,9,1,2,6
9,6,1,2,6
9,8,1,2,6
10,NA,NA,2,6
12,NA,NA,2,6
13,12,1,2,6
14,10,1,2,6
2,NA,NA,1,7
3,2,1,1,7
3,5,1,1,7
3,15,1,1,7
5,3,1,1,7
7,11,1,1,7
10,11,1,1,7
10,14,1,1,7
11,7,1,1,7
11,10,1,1,7
14,10,1,1,7
15,NA,NA,1,7
2,15,1,2,7
5,9,1,2,7
5,16,1,2,7
6,8,1,2,7
6,9,1,2,7
6,13,1,2,7
8,6,1,2,7
8,9,1,2,7
9,5,1,2,7
9,6,1,2,7
9,8,1,2,7
10,11,1,2,7
11,10,1,2,7
11,14,1,2,7
12,13,1,2,7
13,6,1,2,7
13,12,1,2,7
14,NA,NA,2,7
15,NA,NA,2,7
16,5,1,2,7
2,NA,NA,1,8
4,2,1,1,8
9,14,1,1,8
9,16,1,1,8
10,11,1,1,8
10,14,1,1,8
11,NA,NA,1,8
12,13,1,1,8
13,12,1,1,8
14,10,1,1,8
16,9,1,1,8
3,NA,NA,2,8
5,3,1,2,8
6,5,1,2,8
6,8,1,2,8
6,13,1,2,8
7,10,1,2,8
8,6,1,2,8
8,9,1,2,8
9,8,1,2,8
10,11,1,2,8
10,14,1,2,8
11,10,1,2,8
11,14,1,2,8
12,13,1,2,8
13,NA,NA,2,8
14,10,1,2,8
14,11,1,2,8
2,13,1,1,9
6,NA,NA,1,9
8,9,1,1,9
9,8,1,1,9
10,11,1,1,9
11,8,1,1,9
11,10,1,1,9
12,6,1,1,9
12,13,1,1,9
13,2,1,1,9
13,12,1,1,9
3,5,1,2,9
5,3,1,2,9
5,9,1,2,9
6,5,1,2,9
6,9,1,2,9
6,13,1,2,9
9,5,1,2,9
9,16,1,2,9
10,11,1,2,9
11,10,1,2,9
13,NA,NA,2,9
14,11,1,2,9
16,NA,NA,2,9
1,NA,NA,1,10
2,3,1,1,10
2,13,1,1,10
3,2,1,1,10
3,5,1,1,10
4,8,1,1,10
5,NA,NA,1,10
7,10,1,1,10
7,12,1,1,10
7,15,1,1,10
8,4,1,1,10
9,8,1,1,10
10,7,1,1,10
10,11,1,1,10
10,14,1,1,10
11,10,1,1,10
11,14,1,1,10
12,2,1,1,10
12,13,1,1,10
12,15,1,1,10
13,2,1,1,10
13,12,1,1,10
13,15,1,1,10
14,10,1,1,10
14,11,1,1,10
15,12,1,1,10
16,1,1,1,10
1,14,1,2,10
3,4,1,2,10
4,3,1,2,10
5,9,1,2,10
6,8,1,2,10
6,13,1,2,10
8,6,1,2,10
9,5,1,2,10
10,11,1,2,10
10,14,1,2,10
11,10,1,2,10
11,14,1,2,10
12,13,1,2,10
13,NA,NA,2,10
14,10,1,2,10
14,11,1,2,10
16,9,1,2,10
2,5,1,1,11
2,16,1,1,11
3,5,1,1,11
4,NA,NA,1,11
5,2,1,1,11
5,3,1,1,11
6,12,1,1,11
9,4,1,1,11
10,2,1,1,11
10,11,1,1,11
10,14,1,1,11
11,10,1,1,11
11,13,1,1,11
11,14,1,1,11
12,6,1,1,11
12,13,1,1,11
12,16,1,1,11
13,6,1,1,11
13,11,1,1,11
13,12,1,1,11
14,10,1,1,11
14,11,1,1,11
16,12,1,1,11
5,9,1,2,11
6,5,1,2,11
6,9,1,2,11
6,13,1,2,11
8,9,1,2,11
9,5,1,2,11
9,8,1,2,11
10,NA,NA,2,11
11,10,1,2,11
13,NA,NA,2,11
2,3,1,1,12
2,5,1,1,12
2,11,1,1,12
3,2,1,1,12
3,5,1,1,12
4,NA,NA,1,12
5,2,1,1,12
5,3,1,1,12
5,4,1,1,12
6,12,1,1,12
7,6,1,1,12
7,10,1,1,12
8,13,1,1,12
10,11,1,1,12
10,14,1,1,12
11,10,1,1,12
11,12,1,1,12
11,14,1,1,12
12,6,1,1,12
12,11,1,1,12
12,13,1,1,12
13,12,1,1,12
14,10,1,1,12
14,11,1,1,12
2,NA,NA,2,12
5,9,1,2,12
6,13,1,2,12
7,14,1,2,12
8,NA,NA,2,12
9,5,1,2,12
9,8,1,2,12
10,11,1,2,12
10,14,1,2,12
11,10,1,2,12
11,14,1,2,12
12,2,1,2,12
12,13,1,2,12
13,12,1,2,12
14,10,1,2,12
14,11,1,2,12
1,3,1,1,13
3,12,1,1,13
4,5,1,1,13
5,NA,NA,1,13
12,13,1,1,13
13,12,1,1,13
1,15,1,2,13
5,NA,NA,2,13
6,13,1,2,13
9,5,1,2,13
9,16,1,2,13
10,11,1,2,13
10,14,1,2,13
11,10,1,2,13
11,14,1,2,13
12,13,1,2,13
13,6,1,2,13
14,10,1,2,13
14,11,1,2,13
15,NA,NA,2,13
16,9,1,2,13
3,NA,NA,1,14
4,13,1,1,14
6,9,1,1,14
8,9,1,1,14
9,8,1,1,14
10,11,1,1,14
10,14,1,1,14
10,16,1,1,14
11,10,1,1,14
11,14,1,1,14
13,3,1,1,14
14,10,1,1,14
14,11,1,1,14
16,10,1,1,14
2,NA,NA,2,14
5,9,1,2,14
6,5,1,2,14
6,8,1,2,14
7,15,1,2,14
8,NA,NA,2,14
9,NA,NA,2,14
10,11,1,2,14
10,13,1,2,14
10,14,1,2,14
11,10,1,2,14
11,14,1,2,14
12,2,1,2,14
13,10,1,2,14
14,10,1,2,14
14,11,1,2,14
15,14,1,2,14
2,NA,NA,1,15
3,2,1,1,15
3,8,1,1,15
4,5,1,1,15
4,9,1,1,15
5,16,1,1,15
7,15,1,1,15
8,NA,NA,1,15
9,4,1,1,15
13,7,1,1,15
15,NA,NA,1,15
16,5,1,1,15
4,15,1,2,15
5,6,1,2,15
6,5,1,2,15
6,13,1,2,15
8,9,1,2,15
9,NA,NA,2,15
10,11,1,2,15
10,14,1,2,15
11,10,1,2,15
11,15,1,2,15
12,13,1,2,15
13,6,1,2,15
14,10,1,2,15
15,11,1,2,15
2,12,1,1,16
3,6,1,1,16
3,12,1,1,16
4,12,1,1,16
6,3,1,1,16
6,12,1,1,16
8,2,1,1,16
10,11,1,1,16
10,14,1,1,16
11,10,1,1,16
11,14,1,1,16
12,2,1,1,16
12,3,1,1,16
12,6,1,1,16
12,13,1,1,16
13,3,1,1,16
13,6,1,1,16
13,12,1,1,16
14,10,1,1,16
14,11,1,1,16
1,16,1,2,16
3,NA,NA,2,16
5,3,1,2,16
5,9,1,2,16
5,16,1,2,16
6,5,1,2,16
6,13,1,2,16
7,8,1,2,16
8,5,1,2,16
8,7,1,2,16
8,9,1,2,16
9,5,1,2,16
9,8,1,2,16
10,14,1,2,16
11,10,1,2,16
13,NA,NA,2,16
14,10,1,2,16
16,NA,NA,2,16
1,14,1,1,17
2,4,1,1,17
4,NA,NA,1,17
5,2,1,1,17
6,12,1,1,17
6,16,1,1,17
8,10,1,1,17
10,8,1,1,17
10,14,1,1,17
12,NA,NA,1,17
14,8,1,1,17
14,10,1,1,17
16,NA,NA,1,17
5,6,1,2,17
5,9,1,2,17
5,16,1,2,17
6,5,1,2,17
6,8,1,2,17
7,NA,NA,2,17
8,6,1,2,17
8,9,1,2,17
9,5,1,2,17
