from,to,dep.var.id,wave,sim
1,4,1,1,1
2,NA,NA,1,1
3,15,1,1,1
4,1,1,1,1
4,5,1,1,1
5,2,1,1,1
5,4,1,1,1
6,11,1,1,1
6,12,1,1,1
7,NA,NA,1,1
10,7,1,1,1
10,11,1,1,1
11,10,1,1,1
12,6,1,1,1
14,11,1,1,1
15,NA,NA,1,1
3,11,1,2,1
5,6,1,2,1
5,9,1,2,1
6,5,1,2,1
6,8,1,2,1
8,6,1,2,1
9,5,1,2,1
10,11,1,2,1
11,3,1,2,1
11,10,1,2,1
11,14,1,2,1
12,13,1,2,1
13,12,1,2,1
14,10,1,2,1
14,11,1,2,1
3,5,1,1,2
4,5,1,1,2
5,3,1,1,2
5,4,1,1,2
5,6,1,1,2
6,5,1,1,2
6,13,1,1,2
7,11,1,1,2
8,9,1,1,2
8,16,1,1,2
9,8,1,1,2
10,7,1,1,2
10,11,1,1,2
11,7,1,1,2
11,10,1,1,2
11,14,1,1,2
12,13,1,1,2
13,6,1,1,2
13,12,1,1,2
14,11,1,1,2
15,3,1,1,2
16,NA,NA,1,2
1,12,1,2,2
2,12,1,2,2
3,5,1,2,2
5,3,1,2,2
6,5,1,2,2
6,8,1,2,2
6,9,1,2,2
6,13,1,2,2
8,9,1,2,2
9,5,1,2,2
9,8,1,2,2
10,11,1,2,2
11,10,1,2,2
12,1,1,2,2
12,2,1,2,2
12,13,1,2,2
13,6,1,2,2
13,12,1,2,2
14,10,1,2,2
16,9,1,2,2
1,4,1,1,3
1,13,1,1,3
4,1,1,1,3
5,14,1,1,3
6,12,1,1,3
7,10,1,1,3
8,9,1,1,3
9,8,1,1,3
10,7,1,1,3
10,11,1,1,3
11,10,1,1,3
12,6,1,1,3
12,13,1,1,3
12,15,1,1,3
13,12,1,1,3
14,5,1,1,3
15,12,1,1,3
3,NA,NA,2,3
5,3,1,2,3
5,9,1,2,3
6,NA,NA,2,3
8,9,1,2,3
9,5,1,2,3
9,6,1,2,3
9,8,1,2,3
10,11,1,2,3
11,10,1,2,3
13,16,1,2,3
14,11,1,2,3
16,NA,NA,2,3
2,3,1,1,4
2,5,1,1,4
3,2,1,1,4
3,14,1,1,4
3,15,1,1,4
5,2,1,1,4
6,12,1,1,4
7,2,1,1,4
7,10,1,1,4
8,9,1,1,4
9,8,1,1,4
9,16,1,1,4
10,7,1,1,4
11,14,1,1,4
12,NA,NA,1,4
13,NA,NA,1,4
14,11,1,1,4
15,3,1,1,4
15,13,1,1,4
16,NA,NA,1,4
3,5,1,2,4
3,15,1,2,4
5,3,1,2,4
5,6,1,2,4
5,9,1,2,4
6,5,1,2,4
7,13,1,2,4
8,9,1,2,4
9,8,1,2,4
10,14,1,2,4
12,3,1,2,4
13,NA,NA,2,4
14,10,1,2,4
15,3,1,2,4
2,3,1,1,5
3,2,1,1,5
3,15,1,1,5
7,10,1,1,5
10,NA,NA,1,5
11,14,1,1,5
12,13,1,1,5
12,15,1,1,5
13,12,1,1,5
14,11,1,1,5
15,3,1,1,5
16,14,1,1,5
1,10,1,2,5
2,12,1,2,5
3,10,1,2,5
5,3,1,2,5
5,9,1,2,5
6,8,1,2,5
6,13,1,2,5
8,6,1,2,5
9,5,1,2,5
9,8,1,2,5
10,1,1,2,5
10,14,1,2,5
12,2,1,2,5
12,13,1,2,5
13,6,1,2,5
14,10,1,2,5
2,12,1,1,6
3,5,1,1,6
4,NA,NA,1,6
5,3,1,1,6
5,4,1,1,6
6,NA,NA,1,6
8,NA,NA,1,6
9,6,1,1,6
11,14,1,1,6
12,2,1,1,6
13,8,1,1,6
13,12,1,1,6
13,16,1,1,6
14,11,1,1,6
16,13,1,1,6
2,12,1,2,6
3,5,1,2,6
5,3,1,2,6
5,6,1,2,6
5,9,1,2,6
6,5,1,2,6
6,9,1,2,6
6,13,1,2,6
8,9,1,2,6
9,5,1,2,6
9,8,1,2,6
10,11,1,2,6
10,14,1,2,6
11,10,1,2,6
12,NA,NA,2,6
13,6,1,2,6
14,10,1,2,6
14,11,1,2,6
16,9,1,2,6
1,10,1,1,7
2,3,1,1,7
3,2,1,1,7
4,5,1,1,7
5,2,1,1,7
5,4,1,1,7
7,10,1,1,7
7,11,1,1,7
8,9,1,1,7
9,2,1,1,7
9,8,1,1,7
10,1,1,1,7
10,7,1,1,7
11,7,1,1,7
1,5,1,2,7
2,NA,NA,2,7
3,15,1,2,7
5,1,1,2,7
5,9,1,2,7
6,8,1,2,7
6,9,1,2,7
6,13,1,2,7
8,6,1,2,7
8,9,1,2,7
9,5,1,2,7
9,8,1,2,7
10,11,1,2,7
10,14,1,2,7
11,10,1,2,7
12,2,1,2,7
12,13,1,2,7
13,6,1,2,7
13,12,1,2,7
14,8,1,2,7
14,10,1,2,7
15,NA,NA,2,7
2,13,1,1,8
6,12,1,1,8
6,13,1,1,8
6,16,1,1,8
7,8,1,1,8
7,11,1,1,8
8,11,1,1,8
11,7,1,1,8
11,8,1,1,8
11,14,1,1,8
12,6,1,1,8
12,13,1,1,8
13,2,1,1,8
13,6,1,1,8
13,12,1,1,8
14,11,1,1,8
16,6,1,1,8
1,6,1,2,8
2,3,1,2,8
3,5,1,2,8
5,3,1,2,8
5,9,1,2,8
6,1,1,2,8
6,9,1,2,8
8,9,1,2,8
9,5,1,2,8
9,6,1,2,8
9,8,1,2,8
10,11,1,2,8
10,14,1,2,8
11,10,1,2,8
11,14,1,2,8
14,NA,NA,2,8
2,12,1,1,9
6,9,1,1,9
7,10,1,1,9
7,11,1,1,9
8,9,1,1,9
9,6,1,1,9
9,8,1,1,9
10,NA,NA,1,9
11,7,1,1,9
12,2,1,1,9
12,13,1,1,9
13,12,1,1,9
14,16,1,1,9
16,14,1,1,9
1,9,1,2,9
5,NA,NA,2,9
6,5,1,2,9
6,8,1,2,9
6,9,1,2,9
6,13,1,2,9
7,9,1,2,9
8,9,1,2,9
9,6,1,2,9
9,7,1,2,9
9,8,1,2,9
10,14,1,2,9
11,14,1,2,9
12,13,1,2,9
